id,user_id,name,industry,stage,location,funding_goal,traction,team_size,revenue_stage,incorporation_certificate,preferred_min_investor_experience,preferred_min_investor_portfolio_size,description
1,8468,Kelly Group,Fintech,Pre-Seed,Toronto,231214,"311 users, $3k MRR",6,Pre-Revenue,False,2,12,"Kelly Group is a Pre-Seed Fintech startup based in Toronto. The company has a 6-member team and has achieved 311 users, $3k MRR. They are currently at the Pre-Revenue stage and not yet incorporated. They are seeking $231,214 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 12 companies."
2,9515,Lutz-Rocha,HealthTech,Pre-Seed,Toronto,451164,"658 users, $8k MRR",2,Pre-Revenue,True,10,19,"Lutz-Rocha is a Pre-Seed HealthTech startup based in Toronto. The company has a 2-member team and has achieved 658 users, $8k MRR. They are currently at the Pre-Revenue stage and is incorporated. They are seeking $451,164 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 19 companies."
3,4867,Ellis Group,HealthTech,Pre-Seed,London,418983,"150 users, $7k MRR",5,Below $100k,False,4,5,"Ellis Group is a Pre-Seed HealthTech startup based in London. The company has a 5-member team and has achieved 150 users, $7k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $418,983 to scale operations and expand their market presence. Preferred investors should have at least 4 years of experience and a portfolio of at least 5 companies."
4,1709,Anderson Group,SaaS,Pre-Seed,Berlin,407617,"1602 users, $6k MRR",5,Below $100k,False,9,7,"Anderson Group is a Pre-Seed SaaS startup based in Berlin. The company has a 5-member team and has achieved 1602 users, $6k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $407,617 to scale operations and expand their market presence. Preferred investors should have at least 9 years of experience and a portfolio of at least 7 companies."
5,8333,Peterson and Sons,HealthTech,Series A,London,4231501,"42031 users, $79k MRR",11,$100k - $500k,True,10,17,"Peterson and Sons is a Series A HealthTech startup based in London. The company has a 11-member team and has achieved 42031 users, $79k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $4,231,501 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 17 companies."
6,3486,Harris LLC,Climate Tech,Pre-Seed,Berlin,448172,"907 users, $9k MRR",5,Below $100k,False,6,11,"Harris LLC is a Pre-Seed Climate Tech startup based in Berlin. The company has a 5-member team and has achieved 907 users, $9k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $448,172 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 11 companies."
7,2504,Sanders-Adams,EdTech,Pre-Seed,Berlin,367990,"1537 users, $5k MRR",3,Below $100k,True,7,17,"Sanders-Adams is a Pre-Seed EdTech startup based in Berlin. The company has a 3-member team and has achieved 1537 users, $5k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $367,990 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 17 companies."
8,6492,Marquez-Wright,HealthTech,Pre-Seed,Bangalore,439887,"1262 users, $4k MRR",2,Below $100k,False,1,18,"Marquez-Wright is a Pre-Seed HealthTech startup based in Bangalore. The company has a 2-member team and has achieved 1262 users, $4k MRR. They are currently at the Below $100k stage and not yet incorporated. They are seeking $439,887 to scale operations and expand their market presence. Preferred investors should have at least 1 years of experience and a portfolio of at least 18 companies."
9,1937,Allison Group,HealthTech,Series A,Berlin,1579378,"72611 users, $163k MRR",27,$100k - $500k,False,6,13,"Allison Group is a Series A HealthTech startup based in Berlin. The company has a 27-member team and has achieved 72611 users, $163k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $1,579,378 to scale operations and expand their market presence. Preferred investors should have at least 6 years of experience and a portfolio of at least 13 companies."
10,7826,Guerrero-Benson,Fintech,Series A,New York,3127614,"69004 users, $172k MRR",19,$100k - $500k,False,5,17,"Guerrero-Benson is a Series A Fintech startup based in New York. The company has a 19-member team and has achieved 69004 users, $172k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $3,127,614 to scale operations and expand their market presence. Preferred investors should have at least 5 years of experience and a portfolio of at least 17 companies."
11,7609,"Holland, Ferguson and Barber",EdTech,Seed,London,608098,"9552 users, $42k MRR",13,$100k - $500k,True,8,18,"Holland, Ferguson and Barber is a Seed EdTech startup based in London. The company has a 13-member team and has achieved 9552 users, $42k MRR. They are currently at the $100k - $500k stage and is incorporated. They are seeking $608,098 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 18 companies."
12,3891,"Lyons, Jones and Ware",AI,Seed,Berlin,990348,"4894 users, $25k MRR",6,Below $100k,True,10,6,"Lyons, Jones and Ware is a Seed AI startup based in Berlin. The company has a 6-member team and has achieved 4894 users, $25k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $990,348 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 6 companies."
13,2347,Meza-Baker,Fintech,Series A,San Francisco,2853831,"92061 users, $105k MRR",14,Above $500k,True,2,17,"Meza-Baker is a Series A Fintech startup based in San Francisco. The company has a 14-member team and has achieved 92061 users, $105k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $2,853,831 to scale operations and expand their market presence. Preferred investors should have at least 2 years of experience and a portfolio of at least 17 companies."
14,6945,Harrison-Johnson,EdTech,Series A,New York,4575079,"35938 users, $175k MRR",19,Above $500k,True,7,17,"Harrison-Johnson is a Series A EdTech startup based in New York. The company has a 19-member team and has achieved 35938 users, $175k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $4,575,079 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 17 companies."
15,2748,Landry LLC,HealthTech,Seed,London,1342580,"19978 users, $46k MRR",11,$100k - $500k,False,3,18,"Landry LLC is a Seed HealthTech startup based in London. The company has a 11-member team and has achieved 19978 users, $46k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $1,342,580 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 18 companies."
16,7973,Williams PLC,E-commerce,Series A,San Francisco,2752838,"68040 users, $166k MRR",20,$100k - $500k,False,10,7,"Williams PLC is a Series A E-commerce startup based in San Francisco. The company has a 20-member team and has achieved 68040 users, $166k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $2,752,838 to scale operations and expand their market presence. Preferred investors should have at least 10 years of experience and a portfolio of at least 7 companies."
17,2988,Daniel-Mosley,EdTech,Series A,London,4614668,"97820 users, $111k MRR",30,Above $500k,True,3,10,"Daniel-Mosley is a Series A EdTech startup based in London. The company has a 30-member team and has achieved 97820 users, $111k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $4,614,668 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 10 companies."
18,3126,Hill-Jones,EdTech,Seed,New York,580601,"3592 users, $30k MRR",14,$100k - $500k,False,8,4,"Hill-Jones is a Seed EdTech startup based in New York. The company has a 14-member team and has achieved 3592 users, $30k MRR. They are currently at the $100k - $500k stage and not yet incorporated. They are seeking $580,601 to scale operations and expand their market presence. Preferred investors should have at least 8 years of experience and a portfolio of at least 4 companies."
19,5876,Clark-Hoover,SaaS,Seed,San Francisco,948337,"17191 users, $21k MRR",6,Below $100k,True,7,17,"Clark-Hoover is a Seed SaaS startup based in San Francisco. The company has a 6-member team and has achieved 17191 users, $21k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $948,337 to scale operations and expand their market presence. Preferred investors should have at least 7 years of experience and a portfolio of at least 17 companies."
20,4018,Mcpherson-Butler,EdTech,Series A,Berlin,2452906,"23266 users, $53k MRR",12,Above $500k,True,3,16,"Mcpherson-Butler is a Series A EdTech startup based in Berlin. The company has a 12-member team and has achieved 23266 users, $53k MRR. They are currently at the Above $500k stage and is incorporated. They are seeking $2,452,906 to scale operations and expand their market presence. Preferred investors should have at least 3 years of experience and a portfolio of at least 16 companies."
21,4920,Patton-Rice,E-commerce,Pre-Seed,New York,371792,"1256 users, $7k MRR",5,Below $100k,True,1,11,"Patton-Rice is a Pre-Seed E-commerce startup based in New York. The company has a 5-member team and has achieved 1256 users, $7k MRR. They are currently at the Below $100k stage and is incorporated. They are seeking $371,792 to scale operations and expand their market presence. Preferred investors should have at least 1 years of experience and a portfolio of at least 11 companies."
